CODIGO ORGAO;NOME ORGAO;2010;2011;2012;2013;2014;2015
27000;MINISTERIO PUBLICO;1184497749,290001;1259907828,6599987;1373981018,1799986;1445199347,9699993;1587817104,8199995;1787837039,0699985
39000;SECRETARIA DE SANEAMENTO E RECURSOS HIDRICOS;739161977,6499994;745609498,7699997;737891482,16;745664547,06;794571705,9899993;873729552,1700013
12000;SECRETARIA DA CULTURA;699516068,1600008;669646894,7500011;690753336,61;806562294,729999;818705654,1299996;702219469,2599999
37000;SECRETARIA DOS TRANSPORTES METROPOLITANOS;4920613049,250004;3668867718,44;3771346246,9200006;5247110765,549971;7436836131,610013;7339970195,910006
47000;SECR.EST.DIREITOS PESSOA COM DEFICIENCIA;25146847,58999999;20215178,24000001;26948980,400000025;61526950,91999996;132483831,17000017;99133819,19
1000;ASSEMBLEIA LEGISLATIVA;572682574,2700005;630046512,5200001;694034634,9599999;723098741,1600004;785169965,7099996;871820359,3600007
25000;SECRETARIA DA HABITACAO;1116749276,7000003;1014557467,96;1015087089,8099992;1135341996,7700002;1428114009,9799993;1152085642,7700005
42000;DEFENSORIA PUBLICA DO ESTADO;414695892,8299997;468430277,72999954;485370734,8699996;541268177,88;678223218,3699994;723104618,5299988
49000;SECRETARIA DE ENERGIA E MINERACAO;0;0;0;0;0;25801153,31000001
41000;SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;132757114,44999999;130677926,3999999;140323587,04;141567192,43000004;222957351,31999993;139874235,5900001
3000;TRIBUNAL DE JUSTICA;5003958582,059997;5661370000,459999;6873089832,219975;7631245991,779982;8269172199,060012;9165825146,040016
43000;SECRETARIA DE ENSINO SUPERIOR;4605433375,450053;5355661,79;0,0;0,0;0,0;0
35000;SECRETARIA DE DESENVOLVIMENTO SOCIAL;449049000,9400007;630058766,7200015;723983668,6099991;765049574,4999988;874268101,0199978;810452622,5900002
9000;SECRETARIA DA SAUDE;11978760681,829805;12554689512,789566;13459740575,089645;15097279978,610136;17600387360,540108;18584974742,180313
45000;SECRETARIA DE COMUNICACAO;117575922,62;1891457,0799999998;0,0;0;0;0
48000;SECR. DE DESENVOLVIMENTO METROPOLITANO;0;52013992,649999954;70726153,1899999;59180216,129999906;0,0;0,0
2000;TRIBUNAL DE CONTAS DO ESTADO;420600409,3599998;454707891,76999974;479382873,18000007;537723223,0299999;599803938,82;663092724,9099994
50000;SECRETARIA DE TURISMO;0;86043238,96000002;180175021,62999976;86560162,54999998;123289758,1499997;51339004,739999935
44000;SECRETARIA DE GESTAO PUBLICA;1220276870,0700035;1441145242,5500007;1674727248,0700073;1589304471,320001;1830353408,6200042;0,0
23000;SEC.DO EMPREGO E RELACOES DO TRABALHO;137386670,02999985;113667896,67999995;119460073,15000005;123702824,53999992;119715887,16999996;125246376,57000007
29000;SECRETARIA DE PLANEJAMENTO E GESTAO;618193852,3099979;189840713,2199995;451202826,33999944;702128214,9799995;1001450277,6399984;2248067989,379998
6000;TRIBUNAL DE JUSTICA MILITAR;32025178,439999994;35167251,31999999;41210466,04999999;45006478,970000006;45142277,429999955;51070436,06000002
17000;SEC.DA JUSTICA E DA DEFESA DA CIDADANIA;925660971,9900093;1269144064,560001;1264272305,7499926;1450445751,3199685;1687713415,2200313;1790068368,289961
40000;PROCURADORIA GERAL DO ESTADO;1057251263,1900011;1120439634,0300007;913366861,119999;865921063,2700006;989682897,2000005;989461613,4499998
26000;SECRETARIA DO MEIO AMBIENTE;635251406,4800036;593785197,1100017;680165498,1900009;747125549,3700054;891804491,9600002;845665846,7199984
21000;ADMINISTRACAO GERAL DO ESTADO;38717721907,00997;43297159802,10996;47454744411,32994;52542404460,519936;54977186880,640015;58493079246,59995
28000;CASA CIVIL;206620011,92999995;252848144,63999984;309005612,85000026;401491980,60999876;480238999,0599985;83697071,09000014
38000;SECRETARIA ADMINISTRACAO PENITENCIARIA;1914272381,1900167;2133672391,9300318;2537416910,3000116;2847468704,359781;3225285452,599143;3512268145,469912
46000;SECRETARIA DE RELACOES INSTITUCIONAIS;21639709,16999999;599918,2300000001;0,0;0,0;0,0;0
13000;SECRETARIA DE AGRICULTURA E ABASTECIMENTO;893776825,5599962;646779181,2900008;791015874,250003;817526492,9399971;921594312,3200022;913423563,1800028
16000;SECRETARIA DE LOGISTICA E TRANSPORTES;6006794126,020016;3077990944,219998;2459177731,7;5740368160,1499815;5527220736,300004;3693692375,5500007
51000;SECRETARIA DE GOVERNO;0;0;0;0;0;1107118333,150005
18000;SECRETARIA DA SEGURANCA PUBLICA;9977175730,92978;11170872124,619877;13419647076,089714;14299020254,020071;16177957163,580114;17550826274,150017
49000;SECRETARIA DE ENERGIA;0;61959111,30000001;73897981,04999994;64613882,11000003;67821759,91;0
8000;SECRETARIA DA EDUCACAO;15606913362,059961;16497854433,35979;18840665953,01984;21995502972,760365;25774790972,239944;27151570505,380455
24000;SECRETARIA DE TURISMO;0,0;0,0;0,0;0,0;0;0
10000;SEC.DESENV. ECONOMICO, CIENCIA,TECN. INOVACA;1109335734,7099972;6038099919,500025;7430871589,889906;8653448303,729973;9554526649,67007;11381659223,539783
20000;SECRETARIA DA FAZENDA;17582249361,970036;19845641575,920017;23454283570,380104;23253915654,53994;26084758446,35969;28007878753,520138